user_id,product_id
9770,3124
9770,4846
9770,303
741,4892
741,3492
8072,4659
8072,4667
8072,2230
1845,988
1845,51
1845,823
1845,4960
1845,1760
7387,1721
7387,2015
7387,283
7387,3911
1860,4372
1860,3882
1860,3724
1860,2591
2130,3644
2130,266
2130,3186
2130,4556
2901,1210
2901,717
2901,1040
2901,2923
2901,875
4273,4836
9968,2587
9968,978
9968,3615
9968,3668
9968,1214
9730,521
9730,3134
9730,1264
9730,4863
3442,4219
3442,3877
3442,3161
3442,1835
687,4052
687,1207
687,420
687,1412
687,3679
9304,660
9304,4292
9304,4268
9304,1177
8921,1819
9227,2456
9227,4082
9227,4435
3814,1289
9171,4738
9171,3646
9875,4720
9875,4990
9875,3517
9875,596
9875,4877
9071,3425
102,4434
102,309
2050,406
2050,4865
2050,771
2050,4074
3476,4993
3476,4433
1178,934
1178,1735
1912,2294
1912,4433
1912,4311
1912,478
1912,167
9679,2383
5539,1439
5539,2303
5539,1030
5539,1868
5539,3016
3547,4693
3547,3941
5236,1227
5236,1067
5236,540
5236,4877
8153,2159
8153,1183
8153,1116
8153,3817
8153,390
5780,4000
5780,231
5780,2158
4568,3948
4568,3105
9431,2541
9431,3940
9431,2800
9431,2928
5056,4627
194,2888
194,2911
696,3713
696,4066
696,1695
696,297
696,471
7327,3577
7327,2236
7327,479
7327,4005
7327,3548
5214,3529
5214,1644
5214,2844
6722,2110
6722,4243
6722,1765
5029,655
5029,2315
5029,4465
5029,4459
5029,2805
4015,4230
3900,1547
3900,2777
3900,2714
3900,1261
4510,1151
4510,4631
4510,4195
4510,408
9424,1924
9424,2168
9424,2440
9424,3034
9424,3887
9832,139
9832,3174
9832,2920
9832,2291
8140,575
8140,1216
7400,2227
7400,827
7400,3264
7400,386
8130,884
8130,2137
3946,4016
3946,4945
6275,1429
6275,4828
6275,3478
6981,1208
6981,1297
6981,1388
6981,3049
6579,398
6579,642
6579,1077
6579,4497
7702,973
7702,2487
7702,430
7702,206
7702,3377
8280,1117
8280,1145
8280,3067
8280,4008
6062,2031
6062,468
6062,2332
6062,886
6062,4794
7162,4105
7162,4758
743,1980
743,712
743,1383
743,1808
743,1031
9143,978
9385,4983
9385,889
9385,2780
9385,3978
9385,3461
3696,1944
3696,676
4114,1690
4114,1239
4114,499
4114,1045
4114,267
3072,2201
3072,4443
3072,4009
3072,3613
3674,3335
3674,3489
4932,3262
4932,3710
9267,3349
9267,517
9267,2556
3724,4413
8065,4383
8065,4431
5954,436
5954,539
5954,1538
6945,1989
6945,3203
5209,1925
5209,759
5209,2334
5209,3949
2618,4075
2618,91
9894,313
9894,4661
9894,1627
9894,2762
2851,1744
5823,3042
5823,3539
5823,4679
5823,4969
2412,154
2412,4926
2412,4199
2412,204
2412,476
1115,4880
1115,3728
1115,2280
1115,4843
2427,2106
2427,2528
4210,2638
4210,2882
4210,4526
1563,724
1563,4142
1563,1470
1563,4562
9277,109
9885,63
9885,1931
9885,4585
9885,2124
9885,2429
9595,4107
9595,299
9595,701
9595,3877
9595,15
2985,4016
2985,890
2985,90
2985,2601
2985,579
9198,2821
1051,442
1051,4467
1051,901
8449,2377
8449,3455
8449,4476
8449,1026
8449,1753
262,1
262,3890
262,3811
262,501
262,488
6699,3511
6699,3990
7329,3679
7329,3649
7329,4146
7329,3239
7329,1085
6249,2208
6249,106
7069,1843
7069,3629
7069,1079
7069,2966
9241,2646
9241,33
9241,4549
9241,1139
9241,803
7585,1278
5807,130
5807,351
5807,3958
5809,2901
5809,1307
5809,3365
5809,2496
4322,4107
4322,2445
4322,699
5962,2729
5962,4037
8162,0
8162,4705
8162,1602
2816,1022
2816,4815
2816,1468
8096,1469
8096,876
8096,373
8096,4379
6803,777
6803,3823
6803,514
6803,1160
4685,1588
4685,2408
4685,3195
4685,572
4685,2755
8633,3933
8633,891
5267,1519
5267,4224
5267,972
4152,2426
4052,3822
4052,3778
4052,2967
2497,3917
2497,1285
2497,1847
2497,599
2497,467
5596,1051
5596,4706
5596,2446
5596,2349
6511,3039
6511,2106
6511,4302
6511,2927
439,2389
439,4801
439,3728
439,167
439,1648
8806,2228
8806,935
8806,1578
2349,4818
2349,4928
2349,2425
2349,345
7280,1482
7280,65
7280,2341
7280,3278
1189,167
1189,37
1189,18
1189,2343
7295,282
7295,774
3550,1539
3550,3356
3550,1780
3550,1989
8908,2329
8908,1373
8908,3156
8908,2474
1829,753
19,1115
19,4972
19,1304
2293,1693
2293,2902
4340,1725
4340,3139
4340,1166
4340,369
4340,3409
5235,3991
1737,3145
1737,3940
3747,3928
8235,3546
8235,1233
8235,2921
7995,2322
7995,4944
7995,3297
7995,2213
7995,1979
1048,3078
1048,1989
1048,1942
1048,627
683,3384
683,4564
2575,4626
5005,4412
5005,2950
5005,2567
3394,1626
3394,2559
3394,4528
3394,3569
8757,2640
8757,1500
8757,3155
8757,1587
8757,3976
9157,3856
1149,4788
1149,955
8472,1783
8472,4097
3619,4124
3619,2660
3619,4376
6380,732
6380,578
6380,4145
6380,2962
6380,2403
5379,2604
5379,4793
4771,2067
7034,1975
7034,4292
8780,4082
8780,4420
8780,4759
8780,2920
4389,345
4389,4831
4977,1925
9542,165
9542,1436
9542,4855
2703,856
2703,3036
9386,3290
6950,416
6950,334
8512,4060
8512,2730
8512,3732
9738,25
9738,3444
9738,3074
9738,2842
9738,1523
692,2936
5749,2906
5749,4222
5749,4960
2947,4389
2947,786
2947,3045
1280,1192
1280,715
1280,4489
5155,2686
5155,3936
5155,3023
5155,1582
5155,409
8067,797
8067,2276
8067,3607
8067,2931
8067,830
4258,774
4258,642
4258,2156
4258,4036
847,2537
847,1594
847,2633
847,3332
3418,3982
3418,3224
1260,3218
1260,4130
661,1286
661,465
661,1345
7470,18
7470,4602
7470,3254
7470,3075
7470,2346
4544,2467
4544,595
4544,3492
4544,2110
4544,2542
5165,2589
5165,1626
1829,873
1829,1518
1829,4501
7853,4290
198,1344
198,752
198,2981
7475,3358
7475,220
7475,2585
7475,1336
701,4907
701,4064
701,519
701,1931
9460,3963
9460,3008
9460,81
9460,364
2833,3052
3082,590
3082,4674
3082,4144
3082,4582
4499,2977
4499,2900
4499,1905
4499,1754
4799,1027
4799,4646
4799,1092
1765,2613
180,3240
