order_id,user_id,order_date
0,9770,2024-04-05 12:42:14
1,741,2024-07-14 04:59:34
2,8072,2024-05-27 13:02:57
3,1845,2024-03-28 15:50:58
4,7387,2024-03-31 18:24:00
5,1860,2024-05-13 06:17:31
6,2130,2024-05-09 22:42:25
7,2901,2024-04-08 18:21:21
8,4273,2024-01-25 22:52:42
9,9968,2024-03-09 17:21:53
10,9730,2024-07-15 17:43:03
11,3442,2024-06-06 01:55:13
12,687,2024-02-17 07:52:15
13,9304,2024-07-16 04:07:30
14,8921,2024-02-01 02:47:18
15,9227,2024-04-19 10:05:20
16,3814,2024-03-16 22:51:29
17,9171,2024-01-10 03:24:30
18,9875,2024-02-13 10:47:25
19,9071,2024-02-04 23:52:03
20,102,2024-07-14 07:52:19
21,2050,2024-03-15 00:13:24
22,3476,2024-01-17 22:23:13
23,1178,2024-04-26 07:59:50
24,1912,2024-02-22 20:24:48
25,9679,2024-05-22 18:23:05
26,5539,2024-01-22 22:24:47
27,3547,2024-03-23 23:54:41
28,5236,2024-07-04 13:15:42
29,8153,2024-01-22 09:43:37
30,5780,2024-06-22 23:09:25
31,4568,2024-01-29 00:24:37
32,9431,2024-01-30 10:05:55
33,5056,2024-06-17 15:33:12
34,194,2024-03-28 23:27:11
35,696,2024-01-22 11:31:59
36,7327,2024-03-14 15:10:54
37,5214,2024-02-05 05:10:32
38,6722,2024-01-28 16:32:10
39,5029,2024-03-23 17:46:17
40,4015,2024-04-12 21:13:44
41,3900,2024-06-08 17:46:04
42,4510,2024-03-17 13:16:05
43,9424,2024-07-27 13:37:19
44,9832,2024-06-02 04:06:32
45,8140,2024-05-23 20:03:12
46,7400,2024-03-28 06:09:00
47,8130,2024-04-24 22:17:53
48,3946,2024-03-01 17:12:12
49,6275,2024-02-20 02:35:34
50,6981,2024-05-15 04:14:01
51,6579,2024-05-20 04:12:51
52,7702,2024-05-25 22:04:18
53,8280,2024-06-19 13:04:08
54,6062,2024-03-03 21:07:15
55,7162,2024-06-21 12:24:06
56,743,2024-02-12 06:45:23
57,9143,2024-01-22 20:42:56
58,9385,2024-04-12 13:03:27
59,3696,2024-07-21 23:24:14
60,4114,2024-06-28 17:48:11
61,3072,2024-06-13 06:47:15
62,3674,2024-04-17 19:19:16
63,4932,2024-03-26 04:04:20
64,9267,2024-05-28 10:53:28
65,3724,2024-06-10 11:27:15
