review_id,user_id
0,2567
1,923
2,1815
3,3185
4,3554
5,1236
6,3476
7,7172
8,1246
9,346
10,1638
11,3357
12,5868
13,9181
14,8217
15,7649
16,8698
17,7811
18,1527
19,5412
20,1121
21,920
22,9160
23,2267
24,9498
25,8719
26,8393
27,17
28,9245
29,3498
30,1091
31,4998
32,746
33,441
34,9215
35,5943
36,5996
37,1997
38,6614
39,8071
40,4911
41,8816
42,6172
43,683
44,4106
45,4974
46,3557
47,4665
48,4770
49,3772
50,9577
51,1164
52,3673
53,3897
54,5313
55,6969
56,4695
57,965
58,3769
59,9567
60,9115
61,3577
62,7360
63,7617
64,9414
65,6063
66,1647
67,2753
68,5708
69,3951
70,7462
71,884
72,6588
73,3038
74,8189
75,9516
76,5258
77,2848
78,9425
79,155
80,8538
81,2661
82,9249
83,5107
84,7860
85,1766
86,7930
87,5149
88,8326
89,6282
90,7621
91,6079
92,2805
93,8476
94,5116
95,762
96,9606
97,8784
98,8612
99,7783
100,2621
101,7403
102,2803
103,8496
104,762
105,9259
106,8784
107,184
108,8278
109,8987
110,6031
111,8571
112,2244
113,4943
114,3205
115,5875
116,2711
117,7050
118,8153
119,3702
120,6892
121,6089
122,57
123,8523
124,8408
125,9834
126,7527
127,80
128,6906
129,9431
130,4245
131,5786
132,2113
133,9481
134,5358
135,4412
136,5496
137,3401
138,7764
139,8612
140,1283
141,3332
142,9420
143,3044
144,1605
145,5680
146,2626
147,6256
148,7694
149,4452
150,6095
151,2705
152,1690
153,6304
154,906
155,7393
156,7495
157,751
158,3841
159,2683
160,1175
161,8306
162,7831
163,6313
164,8228
165,9079
166,9015
167,2346
168,4125
169,3649
170,7935
171,2580
172,8602
173,9993
174,5092
175,7856
176,788
177,2352
178,285
179,2819
180,7893
181,3344
182,5676
183,5583
184,2184
185,384
186,972
187,9018
188,5210
189,7182
190,8035
191,5799
192,942
193,5372
194,6186
195,9057
196,3702
197,1238
198,9969
199,4621
200,961
201,9029
202,423
203,8728
204,9257
205,4685
206,8497
207,3047
208,2848
209,1852
210,5904
211,5976
212,8286
213,7510
214,8008
215,6900
216,2202
217,5220
218,192
219,2099
220,5491
221,157
222,3585
223,4836
224,2419
225,3283
226,9263
227,5945
228,5496
229,1697
230,4353
231,624
232,6619
233,2706
234,3037
235,7639
236,9351
237,7787
238,1290
239,6434
240,1687
241,7845
242,7539
243,5208
244,4511
245,7886
246,4990
247,9943
248,2691
249,9239
250,7636
251,1546
252,7643
253,8936
254,13
255,1777
256,3603
257,63
258,7449
259,7795
260,8627
261,2736
262,968
263,8569
264,6665
265,7192
266,8528
267,7029
268,9695
269,8516
270,7357
271,9518
272,1943
273,5765
274,2598
275,5206
276,6496
277,3071
278,8569
279,1791
280,5874
281,3314
282,9705
283,6237
284,1197
285,934
286,5483
287,5404
288,7851
289,3070
290,4881
291,5307
292,1069
293,9358
294,2288
295,4350
296,8061
297,8944
298,8894
299,6668
300,3840
301,1708
302,4322
303,8171
304,272
305,1427
306,7781
307,3391
308,5315
309,3914
310,3791
311,7883
312,7865
313,1405
314,4759
315,5339
316,6449
317,722
318,4081
319,3815
320,3034
321,6527
322,3327
323,6161
324,5507
325,9848
326,2581
327,5296
328,4689
329,5756
330,8606
331,2217
332,1820
333,4519
334,5791
335,9460
336,6305
337,2959
338,5156
339,2181
340,10
341,5733
342,6612
343,2445
344,5455
345,9867
346,4634
347,6388
348,4405
349,429
350,5497
351,2956
352,7258
353,8376
354,666
355,8979
356,2646
357,2947
358,6021
359,4095
360,9274
361,2206
362,3408
