order_id,product_id
0,3124
0,4846
0,303
1,4892
1,3492
2,4659
2,4667
2,2230
3,988
3,51
3,823
3,4960
3,1760
4,1721
4,2015
4,283
4,3911
5,4372
5,3882
5,3724
5,2591
6,3644
6,266
6,3186
6,4556
7,1210
7,717
7,1040
7,2923
7,875
8,4836
9,2587
9,978
9,3615
9,3668
9,1214
10,521
10,3134
10,1264
10,4863
11,4219
11,3877
11,3161
11,1835
12,4052
12,1207
12,420
12,1412
12,3679
13,660
13,4292
13,4268
13,1177
14,1819
15,2456
15,4082
15,4435
16,1289
17,4738
17,3646
18,4720
18,4990
18,3517
18,596
18,4877
19,3425
20,4434
20,309
21,406
21,4865
21,771
21,4074
22,4993
22,4433
23,934
23,1735
24,2294
24,4433
24,4311
24,478
24,167
25,2383
26,1439
26,2303
26,1030
26,1868
26,3016
27,4693
27,3941
28,1227
28,1067
28,540
28,4877
29,2159
29,1183
29,1116
29,3817
29,390
30,4000
30,231
30,2158
31,3948
31,3105
32,2541
32,3940
32,2800
32,2928
33,4627
34,2888
34,2911
35,3713
35,4066
35,1695
35,297
35,471
36,3577
36,2236
36,479
36,4005
36,3548
37,3529
37,1644
37,2844
38,2110
38,4243
38,1765
39,655
39,2315
39,4465
39,4459
39,2805
40,4230
41,1547
41,2777
41,2714
41,1261
42,1151
42,4631
42,4195
42,408
43,1924
43,2168
43,2440
43,3034
43,3887
44,139
44,3174
44,2920
44,2291
45,575
45,1216
46,2227
46,827
46,3264
46,386
47,884
47,2137
48,4016
48,4945
49,1429
49,4828
49,3478
50,1208
50,1297
50,1388
50,3049
51,398
51,642
51,1077
51,4497
52,973
52,2487
52,430
52,206
52,3377
53,1117
53,1145
53,3067
53,4008
54,2031
54,468
54,2332
54,886
54,4794
55,4105
55,4758
56,1980
56,712
56,1383
56,1808
56,1031
57,978
58,4983
58,889
58,2780
58,3978
58,3461
59,1944
59,676
60,1690
60,1239
60,499
60,1045
60,267
61,2201
61,4443
61,4009
61,3613
62,3335
62,3489
63,3262
63,3710
64,3349
64,517
64,2556
65,4413
66,4383
66,4431
67,436
67,539
67,1538
68,1989
68,3203
69,1925
69,759
69,2334
69,3949
70,4075
70,91
71,313
71,4661
71,1627
71,2762
72,1744
73,3042
73,3539
73,4679
73,4969
74,154
74,4926
74,4199
74,204
74,476
75,4880
75,3728
75,2280
75,4843
76,2106
76,2528
77,2638
77,2882
77,4526
78,724
78,4142
78,1470
78,4562
79,109
80,63
80,1931
80,4585
80,2124
80,2429
81,4107
81,299
81,701
81,3877
81,15
82,4016
82,890
